Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details
2/6/2020,Salesforce,Software Engineer,MTS,Software Engineer,26,"Vancouver, BC, Canada",157000,130000,14000,13000,3,0,Web Development (Front-End),Male,Masters
2/6/2020,Intel,Software Engineer,Grade 8,Senior Engineer,48.62,"Santa Clara, CA",235000,170000,10000,55000,8,2,Networking,,
2/7/2020,HSBC,Software Engineer,Senior Development Engineering Officer,,,"Hong Kong, HK, Hong Kong (SAR)",59000,54000,,5000,3,1,Distributed Systems (Back-End),Male,
2/7/2020,Palantir,Software Engineer,Software Engineer,Senior Engineer,50,"New York, NY",297000,173000,100000,25000,7,5,API Development (Back-End),Male,
2/7/2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Redmond, WA",213000,148000,38000,27000,7,0,Full Stack,Male,Masters
2/7/2020,NBCUniversal,Software Engineer,IC3,,,"Seattle, WA",150000,150000,,0,14,4,iOS,Female,Masters
2/7/2020,Aveva Software LLC,Software Engineer,2,,,"Chicago, IL",94000,88000,,4000,8,8,Analytics,Male,
2/7/2020,Goldman Sachs,Software Engineer,Associate,Software Engineer,28.57,"New York, NY",176000,136000,,40000,3,3,API Development (Back-End),,
2/7/2020,Infobip,Software Engineer,SE L4,,,"Sarajevo, BF, Bosnia and Herzegovina",13000,11000,,2000,4,3,Full Stack,Male,
2/7/2020,Robinhood,Software Engineer,L1,,,"Menlo Park, CA",193000,140000,54000,0,1,0,Android,Male,"$25,000 signing bonus and $5,000 grossed up relocation bonus"
2/7/2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Menlo Park, CA",205000,150000,40000,15000,1,1,Android,Male,Masters
2/7/2020,Okta,Software Engineer,Staff Software Engineer,,,"San Jose, CA",315000,164000,140000,10000,7,5,Distributed Systems (Back-End),Male,Masters
2/7/2020,Capsule,Software Engineer,Senior,,,"New York, NY",170000,170000,,0,8,1,Full Stack,,
2/7/2020,Wayfair,Software Engineer,L1,Entry Level Engineer,9.82,"Boston, MA",111000,101000,,10000,0,0,API Development (Back-End),Male,Signing bonus 7500 - Masters
2/7/2020,Wayfair,Software Engineer,L1,Entry Level Engineer,9.82,"Boston, MA",110000,100000,,10000,0,0,iOS,Male,
2/7/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",185000,135000,37000,13000,3,3,Mobile (iOS + Android),,
2/7/2020,Wayfair,Software Engineer,L2,Software Engineer,29.02,"Boston, MA",145000,120000,12000,12000,8,1,Testing (SDET),Male,QA Automation
2/7/2020,Wayfair,Software Engineer,L1,Entry Level Engineer,9.82,"Boston, MA",110000,100000,,10000,0,1,Full Stack,Female,
2/7/2020,Sophos,Software Engineer,Senior Software Engineer,,,"Boston, MA",160000,150000,,10000,5,5,Distributed Systems (Back-End),Male,Masters
2/7/2020,Microsoft,Software Engineer,Principal SDE,Senior Engineer,60.23,"Redmond, WA",250000,175000,36000,34000,14,12,Full Stack,Male,Masters
2/7/2020,ADF,Software Engineer,62,,,"Redmond, WA",100000,70000,20000,10000,3,3,Web Development (Front-End),,
2/7/2020,Xinova,Software Engineer,Senior,,,"Seattle, WA",186000,186000,,0,20,2,Web Development (Front-End),,
2/7/2020,Mantech,Software Engineer,Staff,,,"Washington, DC",100000,100000,,0,1,0,Full Stack,,
2/7/2020,Zillow,Software Engineer,P2,Entry Level Engineer,14,"San Francisco, CA",153000,120000,30000,3000,1,1,Full Stack,Male,
2/7/2020,Cisco,Software Engineer,Software Engineer IV,Software Engineer,39.18,"Durham, NC",196000,140000,35000,21000,13,2,DevOps,,Masters
2/7/2020,Facebook,Software Engineer,E5,Senior Engineer,50.51,"Seattle, WA",411000,205000,175000,31000,8,0,ML / AI,,100 signing - Masters
2/7/2020,Intuit,Software Engineer,Staff,,,"Omaha, NE",303000,190000,75000,38000,8,1,Full Stack,Male,Masters
2/7/2020,Ford Motor Company,Software Engineer,GSR7,,,"Dearborn, MI",90000,84000,,6000,3,3,Full Stack,,
2/7/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",135000,105000,5000,25000,5,1,qae,Female,
2/7/2020,JPMorgan Chase,Software Engineer,Senior Associate,Software Engineer,28.57,"Jersey City, NJ",165000,140000,,25000,10,4,Security,Male,Masters
2/7/2020,Goldman Sachs,Software Engineer,Analyst,Entry Level Engineer,9.52,"Singapore, SG, Singapore",81000,70000,,11000,1,1,Full Stack,Female,Masters
2/7/2020,Nutanix,Software Engineer,Member of Technical Staff 4,,,"San Jose, CA",215000,175000,40000,0,5,4,Web Development (Front-End),Male,Masters
2/7/2020,Stripe,Software Engineer,L4,Staff Engineer,78.57,"San Francisco, CA",301000,160000,125000,16000,4,0,API Development (Back-End),Female,Signing bonus: 30k
2/7/2020,Bloomberg,Software Engineer,Senior Software Engineer,Staff Engineer,65.59,"New York, NY",181000,157000,,24000,6,6,Full Stack,Male,Masters
2/7/2020,Capital One,Software Engineer,Associate Software Eng,Entry Level Engineer,6.73,"Washington, DC",108000,99000,,9000,1,0,Distributed Systems (Back-End),Male,
2/7/2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Menlo Park, CA",240000,150000,75000,15000,4,2,API Development (Back-End),Male,Masters
2/7/2020,USAA,Software Engineer,Software Engineer I,Software Engineer,33.9,"Phoenix, AZ",125000,105000,,20000,6,4,API Development (Back-End),Male,Masters
2/7/2020,KLA,Software Engineer,P1,,,"Milpitas, CA",111000,93000,9000,9000,1,1,Distributed Systems (Back-End),Male,
2/7/2020,Expedia,Software Engineer,SDE II,Software Engineer,29.8,"Seattle, WA",150000,135000,,15000,5,2,ML / AI,Male,
2/7/2020,Capital One,Software Engineer,Senior Manager,,,"Richmond, VA",190000,168000,,22000,20,1,Distributed Systems (Back-End),Male,
2/7/2020,IBM,Software Engineer,Associate Engineer,Entry Level Engineer,10.1,"Rochester, MN",86000,86000,,0,2,2,DevOps,Male,
2/7/2020,Adobe,Software Engineer,SDEP40,,,"Emeryville, CA",190000,165000,15000,10000,8,5,Distributed Systems (Back-End),Male,Masters
2/7/2020,Connected,Software Engineer,E3,,,"Toronto, ON, Canada",68000,68000,,0,3,2,Android,Male,
2/7/2020,Connected,Software Engineer,E1,,,"Toronto, ON, Canada",60000,60000,,0,1,0,iOS,Other,
2/7/2020,IHS Markit,Software Engineer,L1.5,,,"Boulder, CO",90000,85000,,5000,3,0,Full Stack,Female,
2/7/2020,Adobe,Software Engineer,Senior Software Engineer (4),Software Engineer,33.66,"Austin, TX",193000,125000,60000,8000,12,2,Full Stack,Male,
2/7/2020,PayPal,Software Engineer,T22,Entry Level Engineer,5.63,"San Jose, CA",154000,125000,17000,12000,0,0,Full Stack,Female,30k signing
2/7/2020,Sonos,Software Engineer,IC3,,,"Seattle, WA",135000,120000,5000,10000,4,1,Distributed Systems (Back-End),Male,Masters
2/7/2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Sunnyvale, CA",202000,152000,25000,22000,4,0,Distributed Systems (Back-End),Male,Sign: 50k
2/7/2020,Zillow,Software Engineer,P4,Senior Engineer,55.5,"Seattle, WA",225000,155000,75000,0,3,3,ML / AI,Male,Masters
2/8/2020,LiveRamp,Software Engineer,P3,,,"San Francisco, CA",232000,165000,60000,7000,5,0.5,Distributed Systems (Back-End),Male,Masters
2/8/2020,IBM,Software Engineer,Advisory Engineer,Senior Engineer,50.51,"New York, NY",165000,165000,,0,10,1,DevOps,Male,
2/8/2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Austin, TX",180000,115000,40000,20000,2,4,iOS,Male,
2/8/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Aachen, NW, Germany",109000,85000,10000,10000,3,1,ML / AI,Male,
2/8/2020,Robert Bosch,Software Engineer,50,,,"Ho Chi Minh City, HC, Vietnam",15000,10000,,5000,3,3,Embedded Software,Male,
2/8/2020,Facebook,Software Engineer,E6,Staff Engineer,68.18,"Menlo Park, CA",801000,230000,525000,46000,10,0,AI Infra,,100k sign on bonus extra - Masters
2/8/2020,Google,Software Engineer,L6,Staff Engineer,68.88,"Mountain View, CA",780000,225000,510000,45000,10,0,Tensorflow,,80k sign on extra
2/8/2020,Uber,Software Engineer,Senior Software Engineer II,Staff Engineer,65.46,"San Francisco, CA",479000,222000,225000,32000,12,3,Distributed Systems (Back-End),Male,
2/8/2020,Flight Centre,Software Engineer,L2,,,"Marlborough, MA",115000,110000,,5000,10,5,Web Development (Front-End),Male,
2/8/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Vancouver, BC, Canada",162000,110000,19000,33000,3,0,Distributed Systems (Back-End),Female,
2/8/2020,ExxonMobil,Software Engineer,CL22,,,"Houston, TX",101000,101000,,0,3,3,Web Development (Front-End),,
2/8/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Sunnyvale, CA",170000,130000,20000,20000,5,1.5,Full Stack,Male,Masters
2/8/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",175000,135000,21000,16000,3,0,API Development (Back-End),Male,Masters
2/8/2020,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Seattle, WA",230000,160000,40000,30000,9,2,Distributed Systems (Back-End),Male,
2/8/2020,JPMorgan Chase,Software Engineer,Associate,Entry Level Engineer,9.52,"Hong Kong, HK, Hong Kong (SAR)",75000,69000,,6000,0,0,ML / AI,Male,
2/8/2020,Under Armour,Software Engineer,L3,,,"Austin, TX",140000,125000,,15000,7,7,iOS,Male,
2/8/2020,UPMC,Software Engineer,Senior,,,"Pittsburgh, PA",143000,143000,,5000,3,0,ML / AI,,PhD
2/8/2020,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"Menlo Park, CA",200000,140000,50000,10000,3,1,Web Development (Front-End),,
2/8/2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"San Francisco, CA",255000,150000,90000,15000,2,2,Networking,Male,
2/8/2020,Wayfair,Software Engineer,L1,Entry Level Engineer,9.82,"Boston, MA",110000,100000,,10000,1,1,Full Stack,Male,
2/8/2020,Yelp,Software Engineer,IC3,Senior Engineer,53.54,"San Francisco, CA",230000,140000,50000,40000,3,0,Distributed Systems (Back-End),Male,Masters
2/8/2020,UPMC,Software Engineer,Senior,,,"Pittsburgh, PA",148000,143000,,5000,3,2,ML / AI,,Masters
2/8/2020,Apple,Software Engineer,ICT4,Senior Engineer,50,"Cupertino, CA",295000,175000,100000,20000,15,4,iOS,,
2/8/2020,Lyft,Software Engineer,T5,Senior Engineer,50.51,"San Francisco, CA",420000,190000,235000,0,8,1,Web Development (Front-End),Male,
2/8/2020,Autodesk,Software Engineer,Principal Engineer,Senior Engineer,45.96,"San Francisco, CA",180000,160000,,20000,13,6,Distributed Systems (Back-End),,Masters
2/8/2020,JPMorgan Chase,Software Engineer,Associate,Entry Level Engineer,9.52,"Houston, TX",110000,100000,,10000,5,0,Web Development (Front-End),,
2/8/2020,Deutsche Bank,Software Engineer,Analyst,,,"Pune, MH, India",19000,18000,,1000,1,1,Full Stack,Male,
2/8/2020,Pandora media,Software Engineer,Software Engineer 3,,,"Atlanta, GA",180000,137000,30000,13000,8,1,Distributed Systems (Back-End),Male,Masters
2/8/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Sunnyvale, CA",245000,155000,66000,23000,4,0,Distributed Systems (Back-End),Male,"$20,000 USD signing bonus"
2/8/2020,Capital One,Software Engineer,Senior Software Eng,Software Engineer,36.54,"Vienna, VA",145000,133000,4000,9000,4,4,Full Stack,Male,
2/8/2020,VMware,Software Engineer,Staff Engineer 2,Staff Engineer,69.19,"Palo Alto, CA",345000,150000,165000,30000,20,2,Distributed Systems (Back-End),Male,
2/8/2020,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"Los Angeles, CA",166000,118000,37000,11000,0,0,General,Male,"65K sign-on bonus, returning intern"
2/8/2020,Google,Software Engineer,L5,Senior Engineer,51.02,"Kirkland, WA",397000,182000,180000,34000,17,10,Distributed Systems (Back-End),Male,Masters
2/8/2020,Google,Software Engineer,L4,Software Engineer,30.61,"Sunnyvale, CA",249000,155000,70000,23000,6,0,Distributed Systems (Back-End),Male,
2/8/2020,CitiGroup,Software Engineer,Assistant Vice President,,,"Irving, TX",88000,86000,,2000,2,2,API Development (Back-End),,Joining Bonus: 5000 - Masters
2/8/2020,Adobe,Software Engineer,Senior Software Engineer (4),Software Engineer,33.66,"San Jose, CA",204000,170000,17000,17000,13,10,Security,Male,Masters
2/8/2020,Google,Software Engineer,L6,Staff Engineer,68.88,"Mountain View, CA",475000,214000,216000,45000,7,7,Distributed Systems (Back-End),Male,Masters and PhD
2/8/2020,Wells Fargo,Software Engineer,Software Engineer (Fresher),,,"Bangalore, KA, India",42000,28000,,14000,0,0,Distributed Systems (Back-End),Male,
2/8/2020,AT&T,Software Engineer,Professional Software-Engineer,,,"Chicago, IL",104000,93000,4000,7000,13,13,DevOps,Female,
2/8/2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Los Angeles, CA",226000,169000,32000,25000,13,0,Distributed Systems (Back-End),Male,25k signon bonus
2/8/2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Seattle, WA",190000,150000,20000,20000,10,8,Full Stack,Male,
2/8/2020,Apple,Software Engineer,Senior,,,"Cupertino, CA",430000,200000,200000,30000,6,1,Distributed Systems (Back-End),Male,Masters
2/9/2020,Yandex,Software Engineer,G15,Entry Level Engineer,14.21,"Saint Petersburg, SP, Russia",30000,25000,,4000,3,1,API Development (Back-End),Male,Masters
2/9/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",156000,112000,20000,24000,0,0,Distributed Systems (Back-End),Male,
2/9/2020,Amazon,Software Engineer,SDE III,Senior Engineer,55.98,"Seattle, WA",280000,160000,120000,0,11,5,Distributed Systems (Back-End),,
2/9/2020,Blackbaud,Software Engineer,Senior,,,"Charleston, SC",96000,88000,,8000,5,3,iOS,Male,
2/9/2020,SquareSpace,Software Engineer,Software Engineer 2,Entry Level Engineer,15.31,"New York, NY",220000,195000,25000,0,10,1,API Development (Back-End),Male,Masters
2/9/2020,Netomi.com,Software Engineer,Sr Architect,,,"Gurgaon, HR, India",200000,100000,100000,2000,8,4,Distributed Systems (Back-End),Male,
2/9/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"New York, NY",155000,140000,,15000,0,0,Full Stack,Male,
2/9/2020,SAP,Software Engineer,T4,Principal Engineer,83,"Budapest, BU, Hungary",56000,48000,,8000,18,14,API Development (Back-End),Male,Masters
2/9/2020,ThoughtWorks,Software Engineer,Consultant Developer,,,"Denver, CO",104000,100000,,4000,2,1,Full Stack,Male,
2/9/2020,Bloomberg,Software Engineer,Software Engineer,Entry Level Engineer,15.59,"Skillman, NJ",188000,161000,,27000,2,2,Distributed Systems (Back-End),Male,
2/9/2020,Salesforce,Software Engineer,Senior MTS,Senior Engineer,44.5,"Indianapolis, IN",150000,120000,10000,20000,5,3,Web Development (Front-End),,
2/9/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",233000,153000,47000,33000,8,0,ML / AI,Male,
2/9/2020,Oracle,Software Engineer,IC-2,Entry Level Engineer,10,"Seattle, WA",200000,140000,40000,20000,4,1,Distributed Systems (Back-End),Female,Masters
2/9/2020,Dropbox,Software Engineer,IC3,Senior Engineer,50.51,"Mountain View, CA",310000,197000,85000,28000,15,2,Site Reliability (SRE),Male,
2/9/2020,Rakuten,Software Engineer,Senior Software Engineer,,,"San Mateo, CA",185000,165000,10000,10000,5,5,API Development (Back-End),,
2/9/2020,Rakuten,Software Engineer,Lead Software Engineer,,,"San Mateo, CA",150000,120000,15000,15000,2,2,API Development (Back-End),,
2/9/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",196000,124000,7000,65000,3,0,API Development (Back-End),Male,Masters
2/9/2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Tel Aviv, TA, Israel",112000,90000,1000,21000,2,0,Full Stack,Male,
2/9/2020,Rakuten,Software Engineer,Senior Software Engineer,,,"San Mateo, CA",185000,165000,10000,10000,6,2,API Development (Back-End),,
2/9/2020,Rakuten,Software Engineer,Software Engineer,,,"San Mateo, CA",150000,130000,10000,10000,2,2,Full Stack,,
2/9/2020,Facebook,Software Engineer,E6,Staff Engineer,68.18,"London, EN, United Kingdom",400000,165000,210000,25000,18,0,Distributed Systems (Back-End),Male,
2/9/2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"San Francisco, CA",260000,175000,50000,38000,5,0,ML / AI,,Masters
2/9/2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Redmond, WA",162000,136000,11000,14000,12,2,API Development (Back-End),Male,
2/9/2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"Vancouver, BC, Canada",153000,120000,15000,18000,10,4,Distributed Systems (Back-End),Male,Masters
2/9/2020,Google,Software Engineer,L5,Senior Engineer,51.02,"Mountain View, CA",550000,190000,330000,30000,11,5,Distributed Systems (Back-End),,
